263.0861 	EXP 	stimuli: color = u'green (named)'
263.0861 	EXP 	stimuli: text = u'green'
263.0861 	EXP 	hint: autoDraw = True
263.6001 	EXP 	stimuli: autoDraw = True
264.1303 	DATA 	Keypress: down
264.5209 	EXP 	stimuli: autoDraw = False
264.5209 	EXP 	hint: autoDraw = False
264.5209 	EXP 	msgFeedback: text = 'Correct! RT=0.531'
264.5209 	EXP 	msgFeedback: autoDraw = True
265.6344 	EXP 	New trial (rep=1, index=4): OrderedDict([('word', u'green'), ('color', u'red'), ('congruent', 0), ('corrAns', u'left')])
265.6517 	EXP 	msgFeedback: autoDraw = False
265.6517 	EXP 	msgFeedback: autoDraw = False
265.6517 	EXP 	stimuli: color = u'red (named)'
265.6517 	EXP 	stimuli: text = u'green'
265.6517 	EXP 	hint: autoDraw = True
266.1623 	EXP 	stimuli: autoDraw = True
266.8790 	DATA 	Keypress: left
267.2673 	EXP 	stimuli: autoDraw = False
267.2673 	EXP 	hint: autoDraw = False
267.2673 	EXP 	msgFeedback: text = 'Correct! RT=0.718'
267.2673 	EXP 	msgFeedback: autoDraw = True
268.3956 	EXP 	New trial (rep=1, index=5): OrderedDict([('word', u'blue'), ('color', u'blue'), ('congruent', 1), ('corrAns', u'right')])
268.5478 	EXP 	msgFeedback: autoDraw = False
268.5478 	EXP 	stimuli: color = u'blue (named)'
268.5478 	EXP 	stimuli: text = u'blue'
268.5478 	EXP 	hint: autoDraw = True
268.9349 	EXP 	stimuli: autoDraw = True
269.6727 	DATA 	Keypress: right
270.0632 	EXP 	stimuli: autoDraw = False
270.0632 	EXP 	hint: autoDraw = False
270.0632 	EXP 	msgFeedback: text = 'Correct! RT=0.739'
270.0632 	EXP 	msgFeedback: autoDraw = True
271.1765 	EXP 	New trial (rep=1, index=6): OrderedDict([('word', u'blue'), ('color', u'red'), ('congruent', 0), ('corrAns', u'left')])
271.1927 	EXP 	msgFeedback: autoDraw = False
271.1927 	EXP 	msgFeedback: autoDraw = False
271.1927 	EXP 	stimuli: color = u'red (named)'
271.1927 	EXP 	stimuli: text = u'blue'
271.1927 	EXP 	hint: autoDraw = True
271.7074 	EXP 	stimuli: autoDraw = True
272.9542 	DATA 	Keypress: left
273.3452 	EXP 	stimuli: autoDraw = False
273.3452 	EXP 	hint: autoDraw = False
273.3452 	EXP 	msgFeedback: text = 'Correct! RT=1.248'
273.3452 	EXP 	msgFeedback: autoDraw = True
274.4703 	EXP 	New trial (rep=1, index=7): OrderedDict([('word', u'green'), ('color', u'blue'), ('congruent', 0), ('corrAns', u'right')])
274.6217 	EXP 	msgFeedback: autoDraw = False
274.6217 	EXP 	stimuli: color = u'blue (named)'
274.6217 	EXP 	stimuli: text = u'green'
274.6217 	EXP 	hint: autoDraw = True
275.0028 	EXP 	stimuli: autoDraw = True
277.1688 	DATA 	Keypress: right
277.5000 	EXP 	stimuli: autoDraw = False
277.5000 	EXP 	hint: autoDraw = False
277.5000 	EXP 	msgFeedback: text = 'Correct! RT=2.167'
