158.4086 	EXP 	stimuli: autoDraw = True
159.4595 	DATA 	Keypress: left
159.8579 	EXP 	stimuli: autoDraw = False
159.8579 	EXP 	hint: autoDraw = False
159.8579 	EXP 	msgFeedback: text = 'Correct! RT=1.062'
159.8579 	EXP 	msgFeedback: autoDraw = True
160.9725 	EXP 	New trial (rep=0, index=7): OrderedDict([('word', u'blue'), ('color', u'blue'), ('congruent', 1), ('corrAns', u'right')])
161.1245 	EXP 	msgFeedback: autoDraw = False
161.1245 	EXP 	msgFeedback: autoDraw = False
161.1245 	EXP 	stimuli: color = u'blue (named)'
161.1245 	EXP 	stimuli: text = u'blue'
161.1245 	EXP 	hint: autoDraw = True
161.5037 	EXP 	stimuli: autoDraw = True
161.9933 	DATA 	Keypress: right
162.3851 	EXP 	stimuli: autoDraw = False
162.3851 	EXP 	hint: autoDraw = False
162.3851 	EXP 	msgFeedback: text = 'Correct! RT=0.492'
162.3851 	EXP 	msgFeedback: autoDraw = True
163.5023 	EXP 	New trial (rep=0, index=8): OrderedDict([('word', u'blue'), ('color', u'red'), ('congruent', 0), ('corrAns', u'left')])
163.5191 	EXP 	msgFeedback: autoDraw = False
163.5191 	EXP 	msgFeedback: autoDraw = False
163.5191 	EXP 	stimuli: color = u'red (named)'
163.5191 	EXP 	stimuli: text = u'blue'
163.5191 	EXP 	hint: autoDraw = True
164.0314 	EXP 	stimuli: autoDraw = True
165.0450 	DATA 	Keypress: left
165.4413 	EXP 	stimuli: autoDraw = False
165.4413 	EXP 	hint: autoDraw = False
165.4413 	EXP 	msgFeedback: text = 'Correct! RT=1.024'
165.4413 	EXP 	msgFeedback: autoDraw = True
166.5651 	EXP 	New trial (rep=0, index=9): OrderedDict([('word', u'red'), ('color', u'green'), ('congruent', 0), ('corrAns', u'down')])
166.7022 	EXP 	msgFeedback: autoDraw = False
166.7022 	EXP 	msgFeedback: autoDraw = False
166.7022 	EXP 	stimuli: color = u'green (named)'
166.7022 	EXP 	stimuli: text = u'red'
166.7022 	EXP 	hint: autoDraw = True
167.0958 	EXP 	stimuli: autoDraw = True
168.2839 	DATA 	Keypress: down
168.6947 	EXP 	stimuli: autoDraw = False
168.6947 	EXP 	hint: autoDraw = False
168.6947 	EXP 	msgFeedback: text = 'Correct! RT=1.207'
168.6947 	EXP 	msgFeedback: autoDraw = True
169.8109 	EXP 	New trial (rep=0, index=10): OrderedDict([('word', u'red'), ('color', u'red'), ('congruent', 1), ('corrAns', u'left')])
