155.7948 	EXP 	stimuli: text = u'blue'
155.7948 	EXP 	hint: autoDraw = True
156.3108 	EXP 	stimuli: autoDraw = True
157.2276 	DATA 	Keypress: down
157.2846 	EXP 	stimuli: autoDraw = False
157.2846 	EXP 	hint: autoDraw = False
157.2846 	EXP 	msgFeedback: text = 'Correct! RT=0.917'
157.2846 	EXP 	msgFeedback: autoDraw = True
158.7261 	EXP 	New trial (rep=0, index=7): OrderedDict([('word', u'green'), ('color', u'green'), ('congruent', 1), ('corrAns', u'down')])
158.7517 	EXP 	msgFeedback: autoDraw = False
158.7517 	EXP 	msgFeedback: autoDraw = False
158.7517 	EXP 	stimuli: color = u'green (named)'
158.7517 	EXP 	stimuli: text = u'green'
158.7517 	EXP 	hint: autoDraw = True
159.2576 	EXP 	stimuli: autoDraw = True
159.8077 	DATA 	Keypress: down
159.8702 	EXP 	stimuli: autoDraw = False
159.8702 	EXP 	hint: autoDraw = False
159.8702 	EXP 	msgFeedback: text = 'Correct! RT=0.550'
159.8702 	EXP 	msgFeedback: autoDraw = True
161.3057 	EXP 	New trial (rep=0, index=8): OrderedDict([('word', u'red'), ('color', u'red'), ('congruent', 1), ('corrAns', u'left')])
161.3269 	EXP 	msgFeedback: autoDraw = False
161.3269 	EXP 	msgFeedback: autoDraw = False
161.3269 	EXP 	stimuli: color = u'red (named)'
161.3269 	EXP 	stimuli: text = u'red'
161.3269 	EXP 	hint: autoDraw = True
161.8375 	EXP 	stimuli: autoDraw = True
162.7536 	DATA 	Keypress: left
162.8053 	EXP 	stimuli: autoDraw = False
162.8053 	EXP 	hint: autoDraw = False
162.8053 	EXP 	msgFeedback: text = 'Correct! RT=0.916'
162.8053 	EXP 	msgFeedback: autoDraw = True
164.2516 	EXP 	New trial (rep=0, index=9): OrderedDict([('word', u'blue'), ('color', u'red'), ('congruent', 0), ('corrAns', u'left')])
164.2734 	EXP 	msgFeedback: autoDraw = False
164.2734 	EXP 	msgFeedback: autoDraw = False
164.2734 	EXP 	stimuli: color = u'red (named)'
164.2734 	EXP 	stimuli: text = u'blue'
164.2734 	EXP 	hint: autoDraw = True
164.7835 	EXP 	stimuli: autoDraw = True
165.5494 	DATA 	Keypress: left
165.5965 	EXP 	stimuli: autoDraw = False
165.5965 	EXP 	hint: autoDraw = False
165.5965 	EXP 	msgFeedback: text = 'Correct! RT=0.766'
165.5965 	EXP 	msgFeedback: autoDraw = True
167.0480 	EXP 	New trial (rep=0, index=10): OrderedDict([('word', u'green'), ('color', u'red'), ('congruent', 0), ('corrAns', u'left')])
167.0727 	EXP 	msgFeedback: autoDraw = False
167.0727 	EXP 	msgFeedback: autoDraw = False
167.0727 	EXP 	stimuli: color = u'red (named)'
167.0727 	EXP 	stimuli: text = u'green'
167.0727 	EXP 	hint: autoDraw = True
167.5798 	EXP 	stimuli: autoDraw = True
168.1133 	DATA 	Keypress: left
168.1602 	EXP 	stimuli: autoDraw = False
168.1602 	EXP 	hint: autoDraw = False
168.1602 	EXP 	msgFeedback: text = 'Correct! RT=0.534'
168.1602 	EXP 	msgFeedback: autoDraw = True
169.6121 	EXP 	New trial (rep=0, index=11): OrderedDict([('word', u'green'), ('color', u'blue'), ('congruent', 0), ('corrAns', u'right')])
169.6273 	EXP 	msgFeedback: autoDraw = False
169.6273 	EXP 	msgFeedback: autoDraw = False
169.6273 	EXP 	stimuli: color = u'blue (named)'
169.6273 	EXP 	stimuli: text = u'green'
169.6273 	EXP 	hint: autoDraw = True
170.1436 	EXP 	stimuli: autoDraw = True
171.2755 	DATA 	Keypress: right
171.3256 	EXP 	stimuli: autoDraw = False
171.3256 	EXP 	hint: autoDraw = False
171.3256 	EXP 	msgFeedback: text = 'Correct! RT=1.132'
171.3256 	EXP 	msgFeedback: autoDraw = True
172.7737 	EXP 	New trial (rep=1, index=0): OrderedDict([('word', u'blue'), ('color', u'red'), ('congruent', 0), ('corrAns', u'left')])
172.7988 	EXP 	msgFeedback: autoDraw = False
172.7988 	EXP 	msgFeedback: autoDraw = False
172.7988 	EXP 	stimuli: color = u'red (named)'
172.7988 	EXP 	stimuli: text = u'blue'
172.7988 	EXP 	hint: autoDraw = True
173.3060 	EXP 	stimuli: autoDraw = True
174.1386 	DATA 	Keypress: left
174.1870 	EXP 	stimuli: autoDraw = False
174.1870 	EXP 	hint: autoDraw = False
174.1870 	EXP 	msgFeedback: text = 'Correct! RT=0.833'
174.1870 	EXP 	msgFeedback: autoDraw = True
175.6370 	EXP 	New trial (rep=1, index=1): OrderedDict([('word', u'red'), ('color', u'red'), ('congruent', 1), ('corrAns', u'left')])
175.6582 	EXP 	msgFeedback: autoDraw = False
175.6582 	EXP 	msgFeedback: autoDraw = False
