154.5630 	EXP 	New trial (rep=1, index=1): OrderedDict([('word', u'green'), ('color', u'red'), ('congruent', 0), ('corrAns', u'left')])
154.7338 	EXP 	msgFeedback: autoDraw = False
154.7338 	EXP 	stimuli: color = u'red (named)'
154.7338 	EXP 	stimuli: text = u'green'
154.7338 	EXP 	hint: autoDraw = True
155.0949 	EXP 	stimuli: autoDraw = True
155.8173 	DATA 	Keypress: left
156.2012 	EXP 	stimuli: autoDraw = False
156.2012 	EXP 	hint: autoDraw = False
156.2012 	EXP 	msgFeedback: text = 'Correct! RT=0.724'
156.2012 	EXP 	msgFeedback: autoDraw = True
157.3290 	EXP 	New trial (rep=1, index=2): OrderedDict([('word', u'blue'), ('color', u'blue'), ('congruent', 1), ('corrAns', u'right')])
157.5245 	EXP 	msgFeedback: autoDraw = False
157.5245 	EXP 	msgFeedback: autoDraw = False
157.5245 	EXP 	stimuli: color = u'blue (named)'
157.5245 	EXP 	stimuli: text = u'blue'
157.5245 	EXP 	hint: autoDraw = True
157.8637 	EXP 	stimuli: autoDraw = True
158.3757 	DATA 	Keypress: right
158.7702 	EXP 	stimuli: autoDraw = False
158.7702 	EXP 	hint: autoDraw = False
158.7702 	EXP 	msgFeedback: text = 'Correct! RT=0.522'
158.7702 	EXP 	msgFeedback: autoDraw = True
159.8903 	EXP 	New trial (rep=1, index=3): OrderedDict([('word', u'blue'), ('color', u'green'), ('congruent', 0), ('corrAns', u'down')])
159.9063 	EXP 	msgFeedback: autoDraw = False
159.9063 	EXP 	msgFeedback: autoDraw = False
159.9063 	EXP 	stimuli: color = u'green (named)'
159.9063 	EXP 	stimuli: text = u'blue'
159.9063 	EXP 	hint: autoDraw = True
160.4207 	EXP 	stimuli: autoDraw = True
161.0096 	DATA 	Keypress: down
161.3952 	EXP 	stimuli: autoDraw = False
161.3952 	EXP 	hint: autoDraw = False
161.3952 	EXP 	msgFeedback: text = 'Correct! RT=0.590'
161.3952 	EXP 	msgFeedback: autoDraw = True
162.5242 	EXP 	New trial (rep=1, index=4): OrderedDict([('word', u'green'), ('color', u'green'), ('congruent', 1), ('corrAns', u'down')])
162.7091 	EXP 	msgFeedback: autoDraw = False
162.7091 	EXP 	stimuli: color = u'green (named)'
162.7091 	EXP 	stimuli: text = u'green'
162.7091 	EXP 	hint: autoDraw = True
163.0696 	EXP 	stimuli: autoDraw = True
163.5198 	DATA 	Keypress: down
163.9122 	EXP 	stimuli: autoDraw = False
163.9122 	EXP 	hint: autoDraw = False
163.9122 	EXP 	msgFeedback: text = 'Correct! RT=0.451'
163.9122 	EXP 	msgFeedback: autoDraw = True
165.0341 	EXP 	New trial (rep=1, index=5): OrderedDict([('word', u'red'), ('color', u'green'), ('congruent', 0), ('corrAns', u'down')])
165.1754 	EXP 	msgFeedback: autoDraw = False
165.1754 	EXP 	msgFeedback: autoDraw = False
165.1754 	EXP 	stimuli: color = u'green (named)'
165.1754 	EXP 	stimuli: text = u'red'
165.1754 	EXP 	hint: autoDraw = True
165.5657 	EXP 	stimuli: autoDraw = True
165.9939 	DATA 	Keypress: down
166.3793 	EXP 	stimuli: autoDraw = False
166.3793 	EXP 	hint: autoDraw = False
166.3793 	EXP 	msgFeedback: text = 'Correct! RT=0.429'
166.3793 	EXP 	msgFeedback: autoDraw = True
167.5014 	EXP 	New trial (rep=1, index=6): OrderedDict([('word', u'green'), ('color', u'blue'), ('congruent', 0), ('corrAns', u'right')])
167.6991 	EXP 	msgFeedback: autoDraw = False
167.6991 	EXP 	msgFeedback: autoDraw = False
167.6991 	EXP 	stimuli: color = u'blue (named)'
167.6991 	EXP 	stimuli: text = u'green'
167.6991 	EXP 	hint: autoDraw = True
168.0379 	EXP 	stimuli: autoDraw = True
168.5988 	DATA 	Keypress: right
169.0133 	EXP 	stimuli: autoDraw = False
169.0133 	EXP 	hint: autoDraw = False
169.0133 	EXP 	msgFeedback: text = 'Correct! RT=0.571'
169.0133 	EXP 	msgFeedback: autoDraw = True
170.1110 	EXP 	New trial (rep=1, index=7): OrderedDict([('word', u'green'), ('color', u'green'), ('congruent', 1), ('corrAns', u'down')])
170.1284 	EXP 	msgFeedback: autoDraw = False
170.1284 	EXP 	msgFeedback: autoDraw = False
170.1284 	EXP 	stimuli: color = u'green (named)'
170.1284 	EXP 	stimuli: text = u'green'
170.1284 	EXP 	hint: autoDraw = True
170.6395 	EXP 	stimuli: autoDraw = True
171.0175 	DATA 	Keypress: down
171.4037 	EXP 	stimuli: autoDraw = False
171.4037 	EXP 	hint: autoDraw = False
171.4037 	EXP 	msgFeedback: text = 'Correct! RT=0.379'
171.4037 	EXP 	msgFeedback: autoDraw = True
172.5247 	EXP 	New trial (rep=1, index=8): OrderedDict([('word', u'red'), ('color', u'green'), ('congruent', 0), ('corrAns', u'down')])
172.6625 	EXP 	msgFeedback: autoDraw = False
172.6625 	EXP 	msgFeedback: autoDraw = False
172.6625 	EXP 	stimuli: color = u'green (named)'
172.6625 	EXP 	stimuli: text = u'red'
172.6625 	EXP 	hint: autoDraw = True
173.0556 	EXP 	stimuli: autoDraw = True
173.5142 	DATA 	Keypress: down
173.9048 	EXP 	stimuli: autoDraw = False
173.9048 	EXP 	hint: autoDraw = False
173.9048 	EXP 	msgFeedback: text = 'Correct! RT=0.460'
173.9048 	EXP 	msgFeedback: autoDraw = True
175.0213 	EXP 	New trial (rep=1, index=9): OrderedDict([('word', u'red'), ('color', u'red'), ('congruent', 1), ('corrAns', u'left')])
175.0371 	EXP 	msgFeedback: autoDraw = False
175.0371 	EXP 	msgFeedback: autoDraw = False
175.0371 	EXP 	stimuli: color = u'red (named)'
175.0371 	EXP 	stimuli: text = u'red'
175.0371 	EXP 	hint: autoDraw = True
175.5498 	EXP 	stimuli: autoDraw = True
176.0706 	DATA 	Keypress: left
176.4550 	EXP 	stimuli: autoDraw = False
176.4550 	EXP 	hint: autoDraw = False
176.4550 	EXP 	msgFeedback: text = 'Correct! RT=0.522'
176.4550 	EXP 	msgFeedback: autoDraw = True
