194.5435 	EXP 	New trial (rep=0, index=6): OrderedDict([('word', u'green'), ('color', u'red'), ('congruent', 0), ('corrAns', u'left')])
194.7117 	EXP 	msgFeedback: autoDraw = False
194.7117 	EXP 	msgFeedback: autoDraw = False
194.7117 	EXP 	stimuli: color = u'red (named)'
194.7117 	EXP 	stimuli: text = u'green'
194.7117 	EXP 	hint: autoDraw = True
195.0750 	EXP 	stimuli: autoDraw = True
196.0342 	DATA 	Keypress: left
196.4418 	EXP 	stimuli: autoDraw = False
196.4418 	EXP 	hint: autoDraw = False
196.4418 	EXP 	msgFeedback: text = 'Correct! RT=0.969'
196.4418 	EXP 	msgFeedback: autoDraw = True
197.5573 	EXP 	New trial (rep=0, index=7): OrderedDict([('word', u'red'), ('color', u'red'), ('congruent', 1), ('corrAns', u'left')])
197.6975 	EXP 	msgFeedback: autoDraw = False
197.6975 	EXP 	stimuli: color = u'red (named)'
197.6975 	EXP 	stimuli: text = u'red'
197.6975 	EXP 	hint: autoDraw = True
198.0878 	EXP 	stimuli: autoDraw = True
198.8175 	DATA 	Keypress: left
199.2214 	EXP 	stimuli: autoDraw = False
199.2214 	EXP 	hint: autoDraw = False
199.2214 	EXP 	msgFeedback: text = 'Correct! RT=0.740'
199.2214 	EXP 	msgFeedback: autoDraw = True
200.3368 	EXP 	New trial (rep=0, index=8): OrderedDict([('word', u'blue'), ('color', u'blue'), ('congruent', 1), ('corrAns', u'right')])
200.4889 	EXP 	msgFeedback: autoDraw = False
200.4889 	EXP 	msgFeedback: autoDraw = False
200.4889 	EXP 	stimuli: color = u'blue (named)'
200.4889 	EXP 	stimuli: text = u'blue'
200.4889 	EXP 	hint: autoDraw = True
200.8675 	EXP 	stimuli: autoDraw = True
202.5085 	DATA 	Keypress: right
202.9224 	EXP 	stimuli: autoDraw = False
202.9224 	EXP 	hint: autoDraw = False
202.9224 	EXP 	msgFeedback: text = 'Correct! RT=1.651'
202.9224 	EXP 	msgFeedback: autoDraw = True
204.0319 	EXP 	New trial (rep=0, index=9): OrderedDict([('word', u'red'), ('color', u'green'), ('congruent', 0), ('corrAns', u'down')])
204.1712 	EXP 	msgFeedback: autoDraw = False
204.1712 	EXP 	msgFeedback: autoDraw = False
204.1712 	EXP 	stimuli: color = u'green (named)'
204.1712 	EXP 	stimuli: text = u'red'
204.1712 	EXP 	hint: autoDraw = True
204.5626 	EXP 	stimuli: autoDraw = True
205.4114 	DATA 	Keypress: down
205.8082 	EXP 	stimuli: autoDraw = False
205.8082 	EXP 	hint: autoDraw = False
205.8082 	EXP 	msgFeedback: text = 'Correct! RT=0.858'
205.8082 	EXP 	msgFeedback: autoDraw = True
206.9275 	EXP 	New trial (rep=0, index=10): OrderedDict([('word', u'blue'), ('color', u'red'), ('congruent', 0), ('corrAns', u'left')])
207.0802 	EXP 	msgFeedback: autoDraw = False
207.0802 	EXP 	msgFeedback: autoDraw = False
207.0802 	EXP 	stimuli: color = u'red (named)'
207.0802 	EXP 	stimuli: text = u'blue'
207.0802 	EXP 	hint: autoDraw = True
207.4600 	EXP 	stimuli: autoDraw = True
208.1030 	DATA 	Keypress: left
208.4996 	EXP 	stimuli: autoDraw = False
208.4996 	EXP 	hint: autoDraw = False
208.4996 	EXP 	msgFeedback: text = 'Correct! RT=0.652'
208.4996 	EXP 	msgFeedback: autoDraw = True
209.6239 	EXP 	New trial (rep=0, index=11): OrderedDict([('word', u'red'), ('color', u'red'), ('congruent', 1), ('corrAns', u'left')])
209.7635 	EXP 	msgFeedback: autoDraw = False
209.7635 	EXP 	msgFeedback: autoDraw = False
209.7635 	EXP 	stimuli: color = u'red (named)'
209.7635 	EXP 	stimuli: text = u'red'
209.7635 	EXP 	hint: autoDraw = True
210.1560 	EXP 	stimuli: autoDraw = True
210.8919 	DATA 	Keypress: left
211.2809 	EXP 	stimuli: autoDraw = False
211.2809 	EXP 	hint: autoDraw = False
211.2809 	EXP 	msgFeedback: text = 'Correct! RT=0.737'
211.2809 	EXP 	msgFeedback: autoDraw = True
212.4039 	EXP 	New trial (rep=1, index=0): OrderedDict([('word', u'blue'), ('color', u'blue'), ('congruent', 1), ('corrAns', u'right')])
212.5573 	EXP 	msgFeedback: autoDraw = False
212.5573 	EXP 	msgFeedback: autoDraw = False
212.5573 	EXP 	stimuli: color = u'blue (named)'
212.5573 	EXP 	stimuli: text = u'blue'
212.5573 	EXP 	hint: autoDraw = True
212.9353 	EXP 	stimuli: autoDraw = True
213.7858 	DATA 	Keypress: right
214.1752 	EXP 	stimuli: autoDraw = False
214.1752 	EXP 	hint: autoDraw = False
214.1752 	EXP 	msgFeedback: text = 'Correct! RT=0.851'
214.1752 	EXP 	msgFeedback: autoDraw = True
215.2998 	EXP 	New trial (rep=1, index=1): OrderedDict([('word', u'red'), ('color', u'green'), ('congruent', 0), ('corrAns', u'down')])
215.4366 	EXP 	msgFeedback: autoDraw = False
215.4366 	EXP 	msgFeedback: autoDraw = False
215.4366 	EXP 	stimuli: color = u'green (named)'
215.4366 	EXP 	stimuli: text = u'red'
215.4366 	EXP 	hint: autoDraw = True
215.8315 	EXP 	stimuli: autoDraw = True
216.4890 	DATA 	Keypress: down
216.8768 	EXP 	stimuli: autoDraw = False
216.8768 	EXP 	hint: autoDraw = False
216.8768 	EXP 	msgFeedback: text = 'Correct! RT=0.659'
216.8768 	EXP 	msgFeedback: autoDraw = True
217.9965 	EXP 	New trial (rep=1, index=2): OrderedDict([('word', u'green'), ('color', u'red'), ('congruent', 0), ('corrAns', u'left')])
218.1668 	EXP 	msgFeedback: autoDraw = False
218.1668 	EXP 	msgFeedback: autoDraw = False
218.1668 	EXP 	stimuli: color = u'red (named)'
218.1668 	EXP 	stimuli: text = u'green'
218.1668 	EXP 	hint: autoDraw = True
218.5279 	EXP 	stimuli: autoDraw = True
219.4110 	DATA 	Keypress: left
219.8075 	EXP 	stimuli: autoDraw = False
219.8075 	EXP 	hint: autoDraw = False
219.8075 	EXP 	msgFeedback: text = 'Correct! RT=0.893'
219.8075 	EXP 	msgFeedback: autoDraw = True
220.9264 	EXP 	New trial (rep=1, index=3): OrderedDict([('word', u'red'), ('color', u'red'), ('congruent', 1), ('corrAns', u'left')])
221.0638 	EXP 	msgFeedback: autoDraw = False
221.0638 	EXP 	msgFeedback: autoDraw = False
221.0638 	EXP 	stimuli: color = u'red (named)'
221.0638 	EXP 	stimuli: text = u'red'
221.0638 	EXP 	hint: autoDraw = True
221.4579 	EXP 	stimuli: autoDraw = True
222.1162 	DATA 	Keypress: left
222.5025 	EXP 	stimuli: autoDraw = False
222.5025 	EXP 	hint: autoDraw = False
222.5025 	EXP 	msgFeedback: text = 'Correct! RT=0.659'
222.5025 	EXP 	msgFeedback: autoDraw = True
223.6405 	EXP 	New trial (rep=1, index=4): OrderedDict([('word', u'blue'), ('color', u'blue'), ('congruent', 1), ('corrAns', u'right')])
223.8180 	EXP 	msgFeedback: autoDraw = False
223.8180 	EXP 	stimuli: color = u'blue (named)'
223.8180 	EXP 	stimuli: text = u'blue'
223.8180 	EXP 	hint: autoDraw = True
224.1714 	EXP 	stimuli: autoDraw = True
226.9319 	DATA 	Keypress: right
227.3295 	EXP 	stimuli: autoDraw = False
227.3295 	EXP 	hint: autoDraw = False
227.3295 	EXP 	msgFeedback: text = 'Correct! RT=2.771'
227.3295 	EXP 	msgFeedback: autoDraw = True
228.4499 	EXP 	New trial (rep=1, index=5): OrderedDict([('word', u'red'), ('color', u'red'), ('congruent', 1), ('corrAns', u'left')])
228.5885 	EXP 	msgFeedback: autoDraw = False
228.5885 	EXP 	msgFeedback: autoDraw = False
228.5885 	EXP 	stimuli: color = u'red (named)'
228.5885 	EXP 	stimuli: text = u'red'
228.5885 	EXP 	hint: autoDraw = True
228.9817 	EXP 	stimuli: autoDraw = True
229.5949 	DATA 	Keypress: left
229.9965 	EXP 	stimuli: autoDraw = False
229.9965 	EXP 	hint: autoDraw = False
229.9965 	EXP 	msgFeedback: text = 'Correct! RT=0.623'
229.9965 	EXP 	msgFeedback: autoDraw = True
231.1135 	EXP 	New trial (rep=1, index=6): OrderedDict([('word', u'blue'), ('color', u'green'), ('congruent', 0), ('corrAns', u'down')])
231.2654 	EXP 	msgFeedback: autoDraw = False
231.2654 	EXP 	msgFeedback: autoDraw = False
231.2654 	EXP 	stimuli: color = u'green (named)'
